,Fight,OUTCOME
9238,Roman Dolidze  vs. Trevin Giles ,L/W
9239,Jesse Strader  vs. Montel Jackson ,L/W
9240,JP Buys  vs. Bruno Silva ,L/W
9241,Belal Muhammad  vs. Leon Edwards ,NC/NC
9242,Ryan Spann  vs. Misha Cirkunov ,W/L
9243,Gavin Tucker  vs. Dan Ige ,L/W
9244,Davey Grant  vs. Jonathan Martinez ,W/L
9245,Matheus Nicolau  vs. Manel Kape ,W/L
9246,Darren Stewart  vs. Eryk Anders ,NC/NC
9247,Ashley Yoder  vs. Angela Hill ,L/W
9248,Marcelo Rojo  vs. Charles Jourdain ,L/W
9249,Ray Rodriguez  vs. Rani Yahya ,L/W
9250,Rafa Garcia  vs. Nasrat Haqparast ,L/W
9251,JJ Aldrich  vs. Cortney Casey ,W/L
9252,Jinh Yu Frey  vs. Gloria de Paula ,W/L
9253,Jason Witt  vs. Matthew Semelsberger ,L/W
9254,Israel Adesanya  vs. Jan Blachowicz ,L/W
9255,Megan Anderson  vs. Amanda Nunes ,L/W
9256,Aljamain Sterling  vs. Petr Yan ,W/L
9257,Drew Dober  vs. Islam Makhachev ,L/W
9258,Aleksandar Rakic  vs. Thiago Santos ,W/L
9259,Casey Kenney  vs. Dominick Cruz ,L/W
9260,Kyler Phillips  vs. Song Yadong ,W/L
9261,Askar Askarov  vs. Joseph Benavidez ,W/L
9262,Kai Kara-France  vs. Rogerio Bontorin ,W/L
9263,Jordan Espinosa  vs. Tim Elliott ,L/W
9264,Carlos Ulberg  vs. Kennedy Nzechukwu ,L/W
9265,Jake Matthews  vs. Sean Brady ,L/W
9266,Amanda Lemos  vs. Livinha Souza ,W/L
9267,Aalon Cruz  vs. Uros Medic ,L/W
9268,Trevin Jones  vs. Mario Bautista ,W/L
9269,Ciryl Gane  vs. Jairzinho Rozenstruik ,W/L
9270,Magomed Ankalaev  vs. Nikita Krylov ,W/L
9271,Mayra Bueno Silva  vs. Montana De La Rosa ,D/D
9272,Jimmie Rivera  vs. Pedro Munhoz ,L/W
9273,Kevin Croom  vs. Alex Caceres ,L/W
9274,Thiago Moises  vs. Alexander Hernandez ,W/L
9275,Sabina Mazo  vs. Alexis Davis ,L/W
9276,Ronnie Lawrence  vs. Vince Cachero ,W/L
9277,Maxim Grishin  vs. Dustin Jacoby ,L/W
9278,Derrick Lewis  vs. Curtis Blaydes ,W/L
9279,Yana Kunitskaya  vs. Ketlen Vieira ,W/L
9280,Darrick Minner  vs. Charles Rosa ,W/L
9281,Chris Daukaus  vs. Aleksei Oleinik ,W/L
9282,Nassourdine Imavov  vs. Phil Hawes ,L/W
9283,Tom Aspinall  vs. Andrei Arlovski ,W/L
9284,Danny Chavez  vs. Jared Gordon ,L/W
9285,John Castaneda  vs. Eddie Wineland ,W/L
9286,Julian Erosa  vs. Nate Landwehr ,W/L
9287,Casey O'Neill  vs. Shana Dobson ,W/L
9288,Drako Rodriguez  vs. Aiemann Zahabi ,L/W
9289,Jared Vanderaa  vs. Serghei Spivac ,L/W
9290,Gilbert Burns  vs. Kamaru Usman ,L/W
9291,Alexa Grasso  vs. Maycee Barber ,W/L
9292,Ian Heinisch  vs. Kelvin Gastelum ,L/W
9293,Brian Kelleher  vs. Ricky Simon ,L/W
9294,Julian Marquez  vs. Maki Pitolo ,W/L
9295,Anthony Hernandez  vs. Rodolfo Vieira ,W/L
9296,Dhiego Lima  vs. Belal Muhammad ,L/W
9297,Mallory Martin  vs. Polyana Viana ,L/W
9298,Chris Gutierrez  vs. Andre Ewell ,W/L
9299,Phil Rowe  vs. Gabe Green ,L/W
9300,Alexander Volkov  vs. Alistair Overeem ,W/L
9301,Frankie Edgar  vs. Cory Sandhagen ,L/W
9302,Clay Guida  vs. Michael Johnson ,W/L
9303,Manel Kape  vs. Alexandre Pantoja ,L/W
9304,Beneil Dariush  vs. Diego Ferreira ,W/L
9305,Danilo Marques  vs. Mike Rodriguez ,W/L
9306,Justin Jaynes  vs. Devonte Smith ,L/W
9307,Joselyne Edwards  vs. Karol Rosa ,L/W
9308,Lara Procopio  vs. Molly McCann ,W/L
9309,Youssef Zalal  vs. SeungWoo Choi ,L/W
9310,Martin Day  vs. Timur Valiev ,L/W
9311,Jerome Rivera  vs. Ode Osbourne ,L/W
9312,Conor McGregor  vs. Dustin Poirier ,L/W
9313,Michael Chandler  vs. Dan Hooker ,W/L
9314,Joanne Wood  vs. Jessica Eye ,W/L
9315,Makhmud Muradov  vs. Andrew Sanchez ,W/L
9316,Amanda Ribas  vs. Marina Rodriguez ,L/W
9317,Matt Frevola  vs. Arman Tsarukyan ,L/W
9318,Antonio Carlos Junior  vs. Brad Tavares ,L/W
9319,Sara McMann  vs. Julianna Pena ,L/W
9320,Marcin Prachnio  vs. Khalil Rountree Jr. ,W/L
9321,Movsar Evloev  vs. Nik Lentz ,W/L
9322,Zhalgas Zhumagulov  vs. Amir Albazi ,L/W
9323,Neil Magny  vs. Michael Chiesa ,L/W
9324,Mounir Lazzez  vs. Warlley Alves ,L/W
9325,Vinicius Moreira  vs. Ike Villanueva ,L/W
9326,Viviane Araujo  vs. Roxanne Modafferi ,W/L
9327,Tyson Nam  vs. Matt Schnell ,L/W
9328,Douglas Silva de Andrade  vs. Lerone Murphy ,L/W
9329,Tom Breese  vs. Omari Akhmedov ,L/W
9330,Gaetano Pirrello  vs. Ricky Simon ,L/W
9331,Zarrukh Adashev  vs.  Sumudaerji ,L/W
9332,Markus Perez  vs. Dalcha Lungiambula ,L/W
9333,Jerome Rivera  vs. Francisco Figueiredo ,L/W
9334,Mason Jones  vs. Mike Davis ,L/W
9335,Sergey Morozov  vs. Umar Nurmagomedov ,L/W
9336,Manon Fiorot  vs. Victoria Leonardo ,W/L
9337,Calvin Kattar  vs. Max Holloway ,L/W
9338,Matt Brown  vs. Carlos Condit ,L/W
9339,Li Jingliang  vs. Santiago Ponzinibbio ,W/L
9340,Alessio Di Chirico  vs. Joaquin Buckley ,W/L
9341,Dusko Todorovic  vs. Punahele Soriano ,L/W
9342,Joselyne Edwards  vs. Wu Yanan ,W/L
9343,Justin Tafa  vs. Carlos Felipe ,L/W
9344,Ramazan Emeev  vs. David Zawada ,W/L
9345,Vanessa Melo  vs. Sarah Moras ,W/L
9346,Austin Lingo  vs. Jacob Kilburn ,W/L
9347,Geoff Neal  vs. Stephen Thompson ,L/W
9348,Marlon Vera  vs. Jose Aldo ,L/W
9349,Khaos Williams  vs. Michel Pereira ,L/W
9350,Rob Font  vs. Marlon Moraes ,W/L
9351,Greg Hardy  vs. Marcin Tybura ,L/W
9352,Alex Morono  vs. Anthony Pettis ,L/W
9353,Pannie Kianzad  vs. Sijara Eubanks ,W/L
9354,Antonio Arroyo  vs. Deron Winn ,L/W
9355,Taila Santos  vs. Gillian Robertson ,W/L
9356,Jamie Pickett  vs. Tafon Nchukwi ,L/W
9357,Cody Durden  vs. Jimmy Flick ,L/W
9358,Carlton Minus  vs. Christos Giagos ,L/W
9359,Brandon Moreno  vs. Deiveson Figueiredo ,D/D
9360,Charles Oliveira  vs. Tony Ferguson ,W/L
9361,Virna Jandiroba  vs. Mackenzie Dern ,L/W
9362,Jacare Souza  vs. Kevin Holland ,L/W
9363,Ciryl Gane  vs. Junior Dos Santos ,W/L
9364,Daniel Pineda  vs. Cub Swanson ,L/W
9365,Rafael Fiziev  vs. Renato Moicano ,W/L
9366,Billy Quarantillo  vs. Gavin Tucker ,L/W
9367,Sam Hughes  vs. Tecia Torres ,L/W
9368,Peter Barrett  vs. Chase Hooper ,L/W
9369,Marvin Vettori  vs. Jack Hermansson ,W/L
9370,Jamahal Hill  vs. Ovince Saint Preux ,W/L
9371,Justin Jaynes  vs. Gabriel Benitez ,L/W
9372,John Allan  vs. Roman Dolidze ,L/W
9373,Jordan Leavitt  vs. Matt Wiman ,W/L
9374,Jose Quinonez  vs. Louis Smolka ,L/W
9375,Damon Jackson  vs. Ilia Topuria ,L/W
9376,Jake Collier  vs. Gian Villante ,W/L
9377,Devin Clark  vs. Anthony Smith ,L/W
9378,Takashi Sato  vs. Miguel Baeza ,L/W
9379,Parker Porter  vs. Josh Parisian ,W/L
9380,Bill Algeo  vs. Spike Carlyle ,W/L
9381,Norma Dumont  vs. Ashlee Evans-Smith ,W/L
9382,Kai Kamaka  vs. Jonathan Pearce ,L/W
9383,Anderson Dos Santos  vs. Martin Day ,W/L
9384,Rachael Ostovich  vs. Gina Mazany ,L/W
9385,Malcolm Gordon  vs.  Sumudaerji ,L/W
9386,Nate Maness  vs. Luke Sanders ,W/L
9387,Alex Perez  vs. Deiveson Figueiredo ,L/W
9388,Jennifer Maia  vs. Valentina Shevchenko ,L/W
9389,Tim Means  vs. Mike Perry ,W/L
9390,Cynthia Calvillo  vs. Katlyn Chookagian ,L/W
9391,Paul Craig  vs. Mauricio Rua ,W/L
9392,Brandon Royval  vs. Brandon Moreno ,L/W
9393,Jordan Wright  vs. Joaquin Buckley ,L/W
9394,Ariane Lipski  vs. Antonina Shevchenko ,L/W
9395,Nicolas Dalby  vs. Daniel Rodriguez ,W/L
9396,Jared Gooden  vs. Alan Jouban ,L/W
9397,Dustin Stoltzfus  vs. Kyle Daukaus ,L/W
9398,Sasha Palatnikov  vs. Louis Cosce ,W/L
9399,Rafael Dos Anjos  vs. Paul Felder ,W/L
9400,Khaos Williams  vs. Abdul Razak Alhassan ,W/L
9401,Miranda Granger  vs. Ashley Yoder ,L/W
9402,Sean Strickland  vs. Brendan Allen ,W/L
9403,Cory McKenna  vs. Kay Hansen ,W/L
9404,Kanako Murata  vs. Randa Markos ,W/L
9405,Tony Gravely  vs. Geraldo de Freitas ,W/L
9406,Rhys McKee  vs. Alex Morono ,L/W
9407,Roque Martinez  vs. Don'Tale Mayes ,L/W
9408,Glover Teixeira  vs. Thiago Santos ,W/L
9409,Tanner Boser  vs. Andrei Arlovski ,L/W
9410,Khalid Taha  vs. Raoni Barcelos ,L/W
9411,Jamey Simmons  vs. Giga Chikadze ,L/W
9412,Yan Xiaonan  vs. Claudia Gadelha ,W/L
9413,Bevon Lewis  vs. Trevin Giles ,L/W
9414,Marcos Rogerio de Lima  vs. Alexandr Romanov ,L/W
9415,Eduardo Garagorri  vs. Darren Elkins ,L/W
9416,Ramiz Brahimaj  vs. Max Griffin ,L/W
9417,Anthony Birchak  vs. Gustavo Lopez ,L/W
9418,Anderson Silva  vs. Uriah Hall ,L/W
9419,Andre Fili  vs. Bryce Mitchell ,L/W
9420,Greg Hardy  vs. Maurice Greene ,W/L
9421,Charlie Ontiveros  vs. Kevin Holland ,L/W
9422,Thiago Moises  vs. Bobby Green ,W/L
9423,Alexander Hernandez  vs. Chris Gruetzemacher ,W/L
9424,Victor Rodriguez  vs. Adrian Yanez ,L/W
9425,Jack Marshman  vs. Sean Strickland ,L/W
9426,Jason Witt  vs. Cole Williams ,W/L
9427,Justin Ledet  vs. Dustin Jacoby ,L/W
9428,Kevin Natividad  vs. Miles Johns ,L/W
9429,Justin Gaethje  vs. Khabib Nurmagomedov ,L/W
9430,Jared Cannonier  vs. Robert Whittaker ,L/W
9431,Walt Harris  vs. Alexander Volkov ,L/W
9432,Phil Hawes  vs. Jacob Malkoun ,W/L
9433,Liliya Shakirova  vs. Lauren Murphy ,L/W
9434,Ion Cutelaba  vs. Magomed Ankalaev ,L/W
9435,Tai Tuivasa  vs. Stefan Struve ,W/L
9436,Casey Kenney  vs. Nathaniel Wood ,W/L
9437,Shavkat Rakhmonov  vs. Alex Oliveira ,W/L
9438,Sam Alvey  vs. Da-Un Jung ,D/D
9439,Miranda Maverick  vs. Liana Jojua ,W/L
9440,Alexander Yakovlev  vs. Joel Alvarez ,L/W
9441,Chan Sung Jung  vs. Brian Ortega ,L/W
9442,Jessica Andrade  vs. Katlyn Chookagian ,W/L
9443,Modestas Bukauskas  vs. Jimmy Crute ,L/W
9444,James Krause  vs. Claudio Silva ,W/L
9445,Jonathan Martinez  vs. Thomas Almeida ,W/L
9446,Guram Kutateladze  vs. Mateusz Gamrot ,W/L
9447,Poliana Botelho  vs. Gillian Robertson ,L/W
9448,John Phillips  vs. Junyong Park ,L/W
9449,Fares Ziam  vs. Jamie Mullarkey ,W/L
9450,Maxim Grishin  vs. Gadzhimurad Antigulov ,W/L
9451,Mark Striegl  vs. Said Nurmagomedov ,L/W
9452,Cory Sandhagen  vs. Marlon Moraes ,W/L
9453,Makwan Amirkhani  vs. Edson Barboza ,L/W
9454,Marcin Tybura  vs. Ben Rothwell ,W/L
9455,Dricus Du Plessis  vs. Markus Perez ,W/L
9456,Alan Baudot  vs. Tom Aspinall ,L/W
9457,Ilia Topuria  vs. Youssef Zalal ,W/L
9458,KB Bhullar  vs. Tom Breese ,L/W
9459,Rodrigo Nascimento  vs. Chris Daukaus ,L/W
9460,Joaquin Buckley  vs. Impa Kasanganay ,W/L
9461,Tony Kelley  vs. Ali AlQaisi ,W/L
9462,Omar Morales  vs. Giga Chikadze ,L/W
9463,Stephanie Egger  vs. Tracy Cortez ,L/W
9464,Tagir Ulanbekov  vs. Bruno Silva ,W/L
9465,Irene Aldana  vs. Holly Holm ,L/W
9466,Carlos Felipe  vs. Yorgan De Castro ,W/L
9467,Julianna Pena  vs. Germaine de Randamie ,L/W
9468,Cameron Else  vs. Kyler Phillips ,L/W
9469,Dusko Todorovic  vs. Dequan Townsend ,W/L
9470,Court McGee  vs. Carlos Condit ,L/W
9471,Josh Culibao  vs. Charles Jourdain ,D/D
9472,Nassourdine Imavov  vs. Jordan Williams ,W/L
9473,Jinh Yu Frey  vs. Loma Lookboonmee ,L/W
9474, Alatengheili  vs. Casey Kenney ,L/W
9475,Jessin Ayari  vs. Luigi Vendramini ,L/W
9476,Paulo Costa  vs. Israel Adesanya ,L/W
9477,Jan Blachowicz  vs. Dominick Reyes ,W/L
9478,Brandon Royval  vs. Kai Kara-France ,W/L
9479,Sijara Eubanks  vs. Ketlen Vieira ,L/W
9480,Zubaira Tukhugov  vs. Hakeem Dawodu ,L/W
9481,Alex Da Silva  vs. Brad Riddell ,L/W
9482,Jake Matthews  vs. Diego Sanchez ,W/L
9483,Ludovit Klein  vs. Shane Young ,W/L
9484,Aleksa Camur  vs. William Knight ,L/W
9485,Jeff Hughes  vs. Juan Espino ,L/W
9486,Danilo Marques  vs. Khadis Ibragimov ,W/L
9487,Tyron Woodley  vs. Colby Covington ,L/W
9488,Niko Price  vs. Donald Cerrone ,NC/NC
9489,Gerald Meerschaert  vs. Khamzat Chimaev ,L/W
9490,Ryan Spann  vs. Johnny Walker ,L/W
9491,Randa Markos  vs. Mackenzie Dern ,L/W
9492,Darren Stewart  vs. Kevin Holland ,L/W
9493,David Dvorak  vs. Jordan Espinosa ,W/L
9494,Damon Jackson  vs. Mirsad Bektic ,W/L
9495,Mara Romero Borella  vs. Mayra Bueno Silva ,L/W
9496,Sarah Alpar  vs. Jessica-Rose Clark ,L/W
9497,TJ Laramie  vs. Darrick Minner ,L/W
9498,Randy Costa  vs. Journey Newson ,W/L
9499,Irwin Rivera  vs. Andre Ewell ,L/W
9500,Jerome Rivera  vs. Tyson Nam ,L/W
9501,Angela Hill  vs. Michelle Waterson ,L/W
9502,Khama Worthy  vs. Ottman Azaitar ,L/W
9503,Andrea Lee  vs. Roxanne Modafferi ,L/W
9504,Mike Rodriguez  vs. Ed Herman ,L/W
9505,Alan Patrick  vs. Bobby Green ,L/W
9506,Kyle Nelson  vs. Billy Quarantillo ,L/W
9507,Sijara Eubanks  vs. Julia Avila ,W/L
9508,Kevin Croom  vs. Roosevelt Roberts ,NC/NC
9509,Roque Martinez  vs. Alexandr Romanov ,L/W
9510,Jalin Turner  vs. Brok Weaver ,W/L
9511,Anthony Ivy  vs. Bryan Barberena ,L/W
9512,Justine Kish  vs. Sabina Mazo ,L/W
9513,Augusto Sakai  vs. Alistair Overeem ,L/W
9514,Alonzo Menifield  vs. Ovince Saint Preux ,L/W
9515,Zelim Imadaev  vs. Michel Pereira ,L/W
9516,Bartosz Fabinski  vs. Andre Muniz ,L/W
9517,Ray Rodriguez  vs. Brian Kelleher ,L/W
9518,Montana De La Rosa  vs. Viviane Araujo ,L/W
9519,Hunter Azure  vs. Cole Smith ,W/L
9520,Aleksandar Rakic  vs. Anthony Smith ,W/L
9521,Neil Magny  vs. Robbie Lawler ,W/L
9522,Alexa Grasso  vs. Ji Yeon Kim ,W/L
9523,Bill Algeo  vs. Ricardo Lamas ,L/W
9524,Impa Kasanganay  vs. Maki Pitolo ,W/L
9525,Zak Cummings  vs. Alessio Di Chirico ,W/L
9526,Austin Springer  vs. Alex Caceres ,L/W
9527,Christian Aguilera  vs. Sean Brady ,L/W
9528,Emily Whitmire  vs. Polyana Viana ,L/W
9529,Hannah Cifers  vs. Mallory Martin ,L/W
9530,Frankie Edgar  vs. Pedro Munhoz ,W/L
9531,Mike Rodriguez  vs. Marcin Prachnio ,W/L
9532,Joe Solecki  vs. Austin Hubbard ,W/L
9533,Shana Dobson  vs. Mariya Agapova ,W/L
9534,Dwight Grant  vs. Daniel Rodriguez ,L/W
9535,Inoue Mizuki  vs. Amanda Lemos ,L/W
9536,Jordan Wright  vs. Ike Villanueva ,W/L
9537,Matthew Semelsberger  vs. Carlton Minus ,W/L
9538,Trevin Jones  vs. Timur Valiev ,NC/NC
9539,Daniel Cormier  vs. Stipe Miocic ,L/W
9540,Marlon Vera  vs. Sean O'Malley ,W/L
9541,Jairzinho Rozenstruik  vs. Junior Dos Santos ,W/L
9542,Daniel Pineda  vs. Herbert Burns ,W/L
9543,Merab Dvalishvili  vs. John Dodson ,W/L
9544,Vinc Pichel  vs. Jim Miller ,W/L
9545,Virna Jandiroba  vs. Felice Herrig ,W/L
9546,Danny Chavez  vs. TJ Brown ,W/L
9547,Livinha Souza  vs. Ashley Yoder ,W/L
9548,Parker Porter  vs. Chris Daukaus ,L/W
9549,Tony Kelley  vs. Kai Kamaka ,L/W
9550,Aleksei Oleinik  vs. Derrick Lewis ,L/W
9551,Chris Weidman  vs. Omari Akhmedov ,W/L
9552,Darren Stewart  vs. Maki Pitolo ,W/L
9553,Julija Stoliarenko  vs. Yana Kunitskaya ,L/W
9554,Scott Holtzman  vs. Beneil Dariush ,L/W
9555,Laureano Staropoli  vs. Tim Means ,L/W
9556,Joaquin Buckley  vs. Kevin Holland ,L/W
9557,Alexander Munoz  vs. Nasrat Haqparast ,L/W
9558,Wellington Turman  vs. Andrew Sanchez ,L/W
9559,Justin Jaynes  vs. Gavin Tucker ,L/W
9560,Peter Barrett  vs. Youssef Zalal ,L/W
9561,Ali AlQaisi  vs. Irwin Rivera ,L/W
9562,Edmen Shahbazyan  vs. Derek Brunson ,L/W
9563,Jennifer Maia  vs. Joanne Wood ,W/L
9564,Randy Brown  vs. Vicente Luque ,L/W
9565,Bobby Green  vs. Lando Vannata ,W/L
9566,Jonathan Martinez  vs. Frankie Saenz ,W/L
9567,Nate Maness  vs. Johnny Munoz ,W/L
9568,Vince Cachero  vs. Jamall Emmers ,L/W
9569,Cody Durden  vs. Chris Gutierrez ,D/D
9570,Darren Till  vs. Robert Whittaker ,L/W
9571,Rogerio Nogueira  vs. Mauricio Rua ,L/W
9572,Alexander Gustafsson  vs. Fabricio Werdum ,L/W
9573,Marina Rodriguez  vs. Carla Esparza ,L/W
9574,Gadzhimurad Antigulov  vs. Paul Craig ,L/W
9575,Peter Sobotta  vs. Alex Oliveira ,L/W
9576,Rhys McKee  vs. Khamzat Chimaev ,L/W
9577,Jai Herbert  vs. Francisco Trinaldo ,L/W
9578,Jesse Ronson  vs. Nicolas Dalby ,NC/NC
9579,Jake Collier  vs. Tom Aspinall ,L/W
9580,Mike Grundy  vs. Movsar Evloev ,L/W
9581,Raphael Pessoa  vs. Tanner Boser ,L/W
9582,Pannie Kianzad  vs. Bethe Correia ,W/L
9583,Niklas Stolze  vs. Ramazan Emeev ,L/W
9584,John Castaneda  vs. Nathaniel Wood ,L/W
9585,Joseph Benavidez  vs. Deiveson Figueiredo ,L/W
9586,Kelvin Gastelum  vs. Jack Hermansson ,L/W
9587,Rafael Fiziev  vs. Marc Diakiese ,W/L
9588,Luana Carolina  vs. Ariane Lipski ,L/W
9589,Askar Askarov  vs. Alexandre Pantoja ,W/L
9590,Khadis Ibragimov  vs. Roman Dolidze ,L/W
9591,Nad Narimani  vs. Grant Dawson ,L/W
9592,Joel Alvarez  vs. Joe Duffy ,W/L
9593,Montel Jackson  vs. Brett Johns ,L/W
9594,Amir Albazi  vs. Malcolm Gordon ,W/L
9595,Arman Tsarukyan  vs. Davi Ramos ,W/L
9596,Serghei Spivac  vs. Carlos Felipe ,W/L
9597,Dan Ige  vs. Calvin Kattar ,L/W
9598,Ryan Benoit  vs. Tim Elliott ,L/W
9599,Cody Stamann  vs. Jimmie Rivera ,L/W
9600,Taila Santos  vs. Molly McCann ,W/L
9601,Mounir Lazzez  vs. Abdul Razak Alhassan ,W/L
9602,Khamzat Chimaev  vs. John Phillips ,W/L
9603,Lerone Murphy  vs. Ricardo Ramos ,W/L
9604,Andreas Michailidis  vs. Modestas Bukauskas ,L/W
9605,Chris Fishgold  vs. Jared Gordon ,L/W
9606,Liana Jojua  vs. Diana Belbita ,W/L
9607,Aaron Phillips  vs. Jack Shore ,L/W
9608,Jorge Masvidal  vs. Kamaru Usman ,L/W
9609,Max Holloway  vs. Alexander Volkanovski ,L/W
9610,Jose Aldo  vs. Petr Yan ,L/W
9611,Rose Namajunas  vs. Jessica Andrade ,W/L
9612,Paige VanZant  vs. Amanda Ribas ,L/W
9613,Jiri Prochazka  vs. Volkan Oezdemir ,W/L
9614,Muslim Salikhov  vs. Elizeu Zaleski dos Santos ,W/L
9615,Danny Henry  vs. Makwan Amirkhani ,L/W
9616,Roman Bogatov  vs. Leonardo Santos ,L/W
9617,Maxim Grishin  vs. Marcin Tybura ,L/W
9618,Zhalgas Zhumagulov  vs. Raulian Paiva ,L/W
9619,Vanessa Melo  vs. Karol Rosa ,L/W
9620,Davey Grant  vs. Martin Day ,W/L
9621,Dan Hooker  vs. Dustin Poirier ,L/W
9622,Mickey Gall  vs. Mike Perry ,L/W
9623,Maurice Greene  vs. Gian Villante ,W/L
9624,Kyle Daukaus  vs. Brendan Allen ,L/W
9625,Jason Witt  vs. Takashi Sato ,L/W
9626,Julian Erosa  vs. Sean Woodson ,W/L
9627,Khama Worthy  vs. Luis Pena ,W/L
9628,Tanner Boser  vs. Philipe Lins ,W/L
9629,Jinh Yu Frey  vs. Kay Hansen ,L/W
9630,Youssef Zalal  vs. Jordan Griffin ,W/L
9631,Alexander Volkov  vs. Curtis Blaydes ,L/W
9632,Shane Burgos  vs. Josh Emmett ,L/W
9633,Marion Reneau  vs. Raquel Pennington ,L/W
9634,Lyman Good  vs. Belal Muhammad ,L/W
9635,Roosevelt Roberts  vs. Jim Miller ,L/W
9636,Bobby Green  vs. Clay Guida ,W/L
9637,Brianna Van Buren  vs. Tecia Torres ,L/W
9638,Oskar Piechota  vs. Marc-Andre Barriault ,NC/NC
9639,Gillian Robertson  vs. Cortney Casey ,W/L
9640,Justin Jaynes  vs. Frank Camacho ,W/L
9641,Lauren Murphy  vs. Roxanne Modafferi ,W/L
9642,Max Rohskopf  vs. Austin Hubbard ,L/W
9643,Cynthia Calvillo  vs. Jessica Eye ,W/L
9644,Marvin Vettori  vs. Karl Roberson ,W/L
9645,Kevin Aguilar  vs. Charles Rosa ,L/W
9646,Charles Jourdain  vs. Andre Fili ,L/W
9647,Mark De La Rosa  vs. Jordan Espinosa ,L/W
9648,Hannah Cifers  vs. Mariya Agapova ,L/W
9649,Gustavo Lopez  vs. Merab Dvalishvili ,L/W
9650,Gina Mazany  vs. Julia Avila ,L/W
9651,Zarrukh Adashev  vs. Tyson Nam ,L/W
9652,Christian Aguilera  vs. Anthony Ivy ,W/L
9653,Felicia Spencer  vs. Amanda Nunes ,L/W
9654,Cody Garbrandt  vs. Raphael Assuncao ,W/L
9655,Cory Sandhagen  vs. Aljamain Sterling ,L/W
9656,Anthony Rocco Martin  vs. Neil Magny ,L/W
9657,Sean O'Malley  vs. Eddie Wineland ,W/L
9658,Chase Hooper  vs. Alex Caceres ,L/W
9659,Gerald Meerschaert  vs. Ian Heinisch ,L/W
9660,Brian Kelleher  vs. Cody Stamann ,L/W
9661,Maki Pitolo  vs. Charles Byrd ,W/L
9662,Alex Perez  vs. Jussier Formiga ,W/L
9663,Devin Clark  vs. Alonzo Menifield ,W/L
9664,Herbert Burns  vs. Evan Dunham ,W/L
9665,Gilbert Burns  vs. Tyron Woodley ,W/L
9666,Augusto Sakai  vs. Blagoy Ivanov ,W/L
9667,Spike Carlyle  vs. Billy Quarantillo ,L/W
9668,Brok Weaver  vs. Roosevelt Roberts ,L/W
9669,Hannah Cifers  vs. Mackenzie Dern ,L/W
9670,Antonina Shevchenko  vs. Katlyn Chookagian ,L/W
9671,Gabe Green  vs. Daniel Rodriguez ,L/W
9672,Klidson Abreu  vs. Jamahal Hill ,NC/NC
9673,Brandon Royval  vs. Tim Elliott ,W/L
9674,Casey Kenney  vs. Louis Smolka ,W/L
9675,Vince Morales  vs. Chris Gutierrez ,L/W
9676,Walt Harris  vs. Alistair Overeem ,L/W
9677,Angela Hill  vs. Claudia Gadelha ,L/W
9678,Edson Barboza  vs. Dan Ige ,L/W
9679,Krzysztof Jotko  vs. Eryk Anders ,W/L
9680,Marlon Vera  vs. Song Yadong ,L/W
9681,Miguel Baeza  vs. Matt Brown ,W/L
9682,Kevin Holland  vs. Anthony Hernandez ,W/L
9683,Irwin Rivera  vs. Giga Chikadze ,L/W
9684,Nate Landwehr  vs. Darren Elkins ,W/L
9685,Mara Romero Borella  vs. Cortney Casey ,L/W
9686,Don'Tale Mayes  vs. Rodrigo Nascimento ,L/W
9687,Glover Teixeira  vs. Anthony Smith ,W/L
9688,Ovince Saint Preux  vs. Ben Rothwell ,L/W
9689,Drew Dober  vs. Alexander Hernandez ,W/L
9690,Ray Borg  vs. Ricky Simon ,L/W
9691,Philipe Lins  vs. Andrei Arlovski ,L/W
9692,Thiago Moises  vs. Michael Johnson ,W/L
9693,Sarah Moras  vs. Sijara Eubanks ,L/W
9694,Omar Morales  vs. Gabriel Benitez ,W/L
9695,Brian Kelleher  vs. Hunter Azure ,W/L
9696,Ike Villanueva  vs. Chase Sherman ,L/W
9697,Justin Gaethje  vs. Tony Ferguson ,W/L
9698,Dominick Cruz  vs. Henry Cejudo ,L/W
9699,Jairzinho Rozenstruik  vs. Francis Ngannou ,L/W
9700,Calvin Kattar  vs. Jeremy Stephens ,W/L
9701,Yorgan De Castro  vs. Greg Hardy ,L/W
9702,Donald Cerrone  vs. Anthony Pettis ,L/W
9703,Fabricio Werdum  vs. Aleksei Oleinik ,L/W
9704,Michelle Waterson  vs. Carla Esparza ,L/W
9705,Niko Price  vs. Vicente Luque ,L/W
9706,Charles Rosa  vs. Bryce Mitchell ,L/W
9707,Sam Alvey  vs. Ryan Spann ,L/W
9708,Charles Oliveira  vs. Kevin Lee ,W/L
9709,Gilbert Burns  vs. Demian Maia ,W/L
9710,Damir Hadzovic  vs. Renato Moicano ,L/W
9711,Nikita Krylov  vs. Johnny Walker ,W/L
9712,John Makdessi  vs. Francisco Trinaldo ,L/W
9713,Brandon Moreno  vs. Jussier Formiga ,W/L
9714,Randa Markos  vs. Amanda Ribas ,L/W
9715,Aleksei Kunchenko  vs. Elizeu Zaleski dos Santos ,L/W
9716,Enrique Barzola  vs. Rani Yahya ,D/D
9717,Maryna Moroz  vs. Mayra Bueno Silva ,W/L
9718,David Dvorak  vs. Bruno Silva ,W/L
9719,Bea Malecki  vs. Veronica Macedo ,W/L
9720,Yoel Romero  vs. Israel Adesanya ,L/W
