Fight,OUTCOME
Neil Magny  vs. Erick Silva ,W/L
Patrick Cote  vs. Joshua Burkman ,W/L
Chad Laprise  vs. Francisco Trinaldo ,L/W
Olivier Aubin-Mercier  vs. Tony Sims ,W/L
Maryna Moroz  vs. Valerie Letourneau ,L/W
Sam Stout  vs. Frankie Perez ,L/W
Yves Jabouin  vs. Felipe Arantes ,L/W
Marcos Rogerio de Lima  vs. Nikita Krylov ,L/W
Chris Kelades  vs. Chris Beal ,W/L
Shane Campbell  vs. Elias Silverio ,W/L
Misha Cirkunov  vs. Daniel Jolly ,W/L
Glover Teixeira  vs. Ovince Saint Preux ,W/L
Michael Johnson  vs. Beneil Dariush ,L/W
Derek Brunson  vs. Sam Alvey ,W/L
Jared Rosholt  vs. Timothy Johnson ,W/L
Sara McMann  vs. Amanda Nunes ,L/W
Ray Borg  vs. Geane Herrera ,W/L
Uriah Hall  vs. Oluwale Bamgbose ,W/L
Chris Camozzi  vs. Tom Watson ,W/L
Dustin Ortiz  vs. Willie Gates ,W/L
Frankie Saenz  vs. Sirwan Kakai ,W/L
Chris Dempsey  vs. Jonathan Wilson ,L/W
Marlon Vera  vs. Roman Salazar ,W/L
Anthony Christodoulou  vs. Scott Holtzman ,L/W
Ronda Rousey  vs. Bethe Correia ,W/L
Mauricio Rua  vs. Rogerio Nogueira ,W/L
Glaico Franca Moreira  vs. Fernando Bruno ,W/L
Reginaldo Vieira  vs. Dileno Lopes ,W/L
Stefan Struve  vs. Antonio Rodrigo Nogueira ,W/L
Antonio Silva  vs. Soa Palelei ,W/L
Claudia Gadelha  vs. Jessica Aguilar ,W/L
Demian Maia  vs. Neil Magny ,W/L
Rafael Cavalcante  vs. Patrick Cummins ,L/W
Warlley Alves  vs. Nordine Taleb ,W/L
Iuri Alcantara  vs. Leandro Issa ,W/L
Vitor Miranda  vs. Clint Hester ,W/L
Hugo Viana  vs. Guido Cannetti ,L/W
TJ Dillashaw  vs. Renan Barao ,W/L
Miesha Tate  vs. Jessica Eye ,W/L
Edson Barboza  vs. Paul Felder ,W/L
Joe Lauzon  vs. Takanori Gomi ,W/L
Gian Villante  vs. Tom Lawlor ,L/W
Jim Miller  vs. Danny Castillo ,W/L
Kenny Robertson  vs. Ben Saunders ,L/W
Eddie Wineland  vs. Bryan Caraway ,L/W
Daron Cruickshank  vs. James Krause ,L/W
Ramsey Nijem  vs. Andrew Holbrook ,L/W
Jessamyn Duke  vs. Elizabeth Phillips ,L/W
Zak Cummings  vs. Dominique Steele ,W/L
Michael Bisping  vs. Thales Leites ,W/L
Ross Pearson  vs. Evan Dunham ,L/W
Joe Duffy  vs. Ivan Jorge ,W/L
Joanne Wood  vs. Cortney Casey ,W/L
Leon Edwards  vs. Pawel Pawlak ,W/L
Stevie Ray  vs. Leonardo Mafra ,W/L
Paddy Holohan  vs. Vaughan Lee ,W/L
Ilir Latifi  vs. Hans Stringer ,W/L
Mickael Lebout  vs. Teemu Packalen ,W/L
Robert Whiteford  vs. Paul Redmond ,W/L
Marcus Brimage  vs. Jimmie Rivera ,L/W
Daniel Omielanczuk  vs. Chris de la Rocha ,W/L
Frank Mir  vs. Todd Duffee ,W/L
Josh Thomson  vs. Tony Ferguson ,L/W
Holly Holm  vs. Marion Reneau ,W/L
Scott Jorgensen  vs. Manvel Gamburyan ,L/W
Kevin Lee  vs. James Moontasri ,W/L
Alan Jouban  vs. Matt Dwyer ,W/L
Sam Sicilia  vs. Yaotzin Meza ,W/L
Jessica Andrade  vs. Sarah Moras ,W/L
Rani Yahya  vs. Masanori Kanehara ,W/L
Igor Araujo  vs. Sean Strickland ,L/W
Kevin Casey  vs. Ildemar Alcantara ,W/L
Andrew Craig  vs. Lyman Good ,L/W
Jake Ellenberger  vs. Stephen Thompson ,L/W
Kamaru Usman  vs. Hayder Hassan ,W/L
Michael Graves  vs. Vicente Luque ,W/L
Jorge Masvidal  vs. Cezar Ferreira ,W/L
Angela Magana  vs. Michelle Waterson ,L/W
Maximo Blanco  vs. Mike de la Torre ,W/L
Josh Samman  vs. Caio Magalhaes ,W/L
Russell Doane  vs. Jerrod Sanders ,L/W
Dan Miller  vs. Trevor Smith ,L/W
George Sullivan  vs. Dominic Waters ,W/L
Darrell Montague  vs. Willie Gates ,L/W
Chad Mendes  vs. Conor McGregor ,L/W
Robbie Lawler  vs. Rory MacDonald ,W/L
Dennis Bermudez  vs. Jeremy Stephens ,L/W
Gunnar Nelson  vs. Brandon Thatch ,W/L
Brad Pickett  vs. Thomas Almeida ,L/W
Matt Brown  vs. Tim Means ,W/L
Mike Swick  vs. Alex Garcia ,L/W
Cathal Pendred  vs. John Howard ,L/W
Cody Garbrandt  vs. Henry Briones ,W/L
Neil Seery  vs. Louis Smolka ,L/W
Yosdenis Cedeno  vs. Cody Pfister ,L/W
Lyoto Machida  vs. Yoel Romero ,L/W
Santiago Ponzinibbio  vs. Lorenz Larkin ,L/W
Antonio Carlos Junior  vs. Eddie Gordon ,W/L
Thiago Santos  vs. Steve Bosse ,W/L
Hacran Dias  vs. Levan Makashvili ,W/L
Alex Oliveira  vs. Joe Merritt ,W/L
Leandro Silva  vs. Lewis Gonzalez ,W/L
Steve Montgomery  vs. Tony Sims ,L/W
Danny Martinez  vs. Sirwan Kakai ,L/W
Joanna Jedrzejczyk  vs. Jessica Penne ,W/L
Dennis Siver  vs. Tatsuya Kawajiri ,L/W
Peter Sobotta  vs. Steve Kennedy ,W/L
Nick Hein  vs. Lukasz Sajewski ,W/L
Makwan Amirkhani  vs. Masio Fullen ,W/L
Mairbek Taisumov  vs. Alan Patrick ,W/L
Alan Omer  vs. Arnold Allen ,L/W
Niklas Backstrom  vs. Noad Lahat ,L/W
Scott Askham  vs. Antonio Dos Santos ,W/L
Piotr Hallmann  vs. Magomed Mustafaev ,L/W
Taylor Lapilus  vs. Yuta Sasaki ,W/L
Cain Velasquez  vs. Fabricio Werdum ,L/W
Gilbert Melendez  vs. Eddie Alvarez ,L/W
Kelvin Gastelum  vs. Nate Marquardt ,W/L
Yair Rodriguez  vs. Charles Rosa ,W/L
Tecia Torres  vs. Angela Hill ,W/L
Henry Cejudo  vs. Chico Camus ,W/L
Efrain Escudero  vs. Drew Dober ,W/L
Alejandro Perez  vs. Patrick Williams ,L/W
Francisco Trevino  vs. Johnny Case ,L/W
Augusto Montano  vs. Cathal Pendred ,L/W
Gabriel Benitez  vs. Clay Collard ,W/L
Tim Boetsch  vs. Dan Henderson ,L/W
Ben Rothwell  vs. Matt Mitrione ,W/L
Dustin Poirier  vs. Yancy Medeiros ,W/L
Thiago Tavares  vs. Brian Ortega ,L/W
Joe Soto  vs. Anthony Birchak ,L/W
Francisco Rivera  vs. Alex Caceres ,W/L
Shawn Jordan  vs. Derrick Lewis ,W/L
Brian Ebersole  vs. Omari Akhmedov ,L/W
Chris Wade  vs. Christos Giagos ,W/L
Joe Proctor  vs. Justin Edwards ,W/L
Ricardo Abreu  vs. Jake Collier ,L/W
Jose Quinonez  vs. Leonardo Morales ,W/L
Carlos Condit  vs. Thiago Alves ,W/L
Nik Lentz  vs. Charles Oliveira ,L/W
KJ Noons  vs. Alex Oliveira ,L/W
Francimar Barroso  vs. Ryan Jimmo ,W/L
Francisco Trinaldo  vs. Norman Parke ,W/L
Wendell Oliveira Marques  vs. Darren Till ,L/W
Rony Jason  vs. Damon Jackson ,NC/NC
Jussier Formiga  vs. Wilson Reis ,W/L
Elizeu Zaleski dos Santos  vs. Nicolas Dalby ,L/W
Lucas Martins  vs. Mirsad Bektic ,L/W
Juliana Lima  vs. Ericka Almeida ,W/L
Luiz Dutra  vs. Tom Breese ,L/W
Anthony Johnson  vs. Daniel Cormier ,L/W
Chris Weidman  vs. Vitor Belfort ,W/L
Donald Cerrone  vs. John Makdessi ,W/L
Travis Browne  vs. Andrei Arlovski ,L/W
Joseph Benavidez  vs. John Moraga ,W/L
John Dodson  vs. Zach Makovsky ,W/L
Dong Hyun Kim  vs. Joshua Burkman ,W/L
Uriah Hall  vs. Rafael Natal ,L/W
Mike Pyle  vs. Colby Covington ,L/W
Islam Makhachev  vs. Leo Kuntz ,W/L
Justin Scoggins  vs. Josh Sampo ,W/L
Frankie Edgar  vs. Urijah Faber ,W/L
Gegard Mousasi  vs. Constantinos Philippou ,W/L
Mark Munoz  vs. Luke Barnatt ,W/L
Hyun Gyu Lim  vs. Neil Magny ,L/W
Phillipe Nover  vs. Yui Chul Nam ,W/L
Mark Eddiva  vs. Levan Makashvili ,L/W
Tae Hyun Bang  vs. Jon Tuck ,L/W
Zhang Lipeng  vs. Kajan Johnson ,L/W
Li Jingliang  vs. Dhiego Lima ,W/L
Guangyou Ning  vs. Royston Wee ,W/L
Roldan Sangcha'an  vs. Jon Delos Reyes ,L/W
Nolan Ticman  vs. Yao Zhikui ,L/W
Stipe Miocic  vs. Mark Hunt ,W/L
Brad Tavares  vs. Robert Whittaker ,L/W
Anthony Perosh  vs. Sean O'Connell ,L/W
Jake Matthews  vs. James Vick ,L/W
Hatsu Hioki  vs. Dan Hooker ,L/W
Kyle Noke  vs. Jonavin Webb ,W/L
Daniel Kelly  vs. Sam Alvey ,L/W
Bec Rawlings  vs. Lisa Ellis ,W/L
Dylan Andrews  vs. Brad Scott ,L/W
Alex Chambers  vs. Kailin Curran ,W/L
Vik Grujic  vs. Brendan O'Reilly ,L/W
Alptekin Ozkilic  vs. Ben Nguyen ,L/W
Demetrious Johnson  vs. Kyoji Horiguchi ,W/L
Quinton Jackson  vs. Fabio Maldonado ,W/L
Michael Bisping  vs. CB Dollaway ,W/L
John Makdessi  vs. Shane Campbell ,W/L
Yves Jabouin  vs. Thomas Almeida ,L/W
Patrick Cote  vs. Joe Riggs ,W/L
Alexis Davis  vs. Sarah Kaufman ,W/L
Chad Laprise  vs. Bryan Barberena ,W/L
Olivier Aubin-Mercier  vs. David Michaud ,W/L
Nordine Taleb  vs. Chris Clements ,W/L
Jessica Rakoczy  vs. Valerie Letourneau ,L/W
Randa Markos  vs. Aisling Daly ,W/L
Lyoto Machida  vs. Luke Rockhold ,L/W
Jacare Souza  vs. Chris Camozzi ,W/L
Cub Swanson  vs. Max Holloway ,L/W
Felice Herrig  vs. Paige VanZant ,L/W
Jim Miller  vs. Beneil Dariush ,L/W
Ovince Saint Preux  vs. Patrick Cummins ,W/L
Corey Anderson  vs. Gian Villante ,L/W
Takeya Mizugaki  vs. Aljamain Sterling ,L/W
George Sullivan  vs. Tim Means ,L/W
Diego Brandao  vs. Jimy Hettes ,W/L
Eddie Gordon  vs. Chris Dempsey ,L/W
Gabriel Gonzaga  vs. Mirko Filipovic ,L/W
Jimi Manuwa  vs. Jan Blachowicz ,W/L
Pawel Pawlak  vs. Sheldon Westcott ,W/L
Joanne Wood  vs. Maryna Moroz ,L/W
Seth Baczynski  vs. Leon Edwards ,L/W
Bartosz Fabinski  vs. Garreth McLellan ,W/L
Sergio Moraes  vs. Mickael Lebout ,W/L
Damian Stasiak  vs. Yaotzin Meza ,L/W
Daniel Omielanczuk  vs. Anthony Hamilton ,L/W
Izabela Badurek  vs. Aleksandra Albu ,L/W
Marcin Bandel  vs. Stevie Ray ,L/W
Taylor Lapilus  vs. Rocky Lee ,W/L
Chad Mendes  vs. Ricardo Lamas ,W/L
Jorge Masvidal  vs. Al Iaquinta ,L/W
Michael Chiesa  vs. Mitch Clarke ,W/L
Julianna Pena  vs. Milana Dudieva ,W/L
Clay Guida  vs. Robert Peralta ,W/L
Dustin Poirier  vs. Diego Ferreira ,W/L
Liz Carmouche  vs. Lauren Murphy ,W/L
Gray Maynard  vs. Alexander Yakovlev ,L/W
Shamil Abdurakhimov  vs. Timothy Johnson ,L/W
Ron Stallings  vs. Justin Jones ,W/L
Demian Maia  vs. Ryan LaFlare ,W/L
Erick Silva  vs. Josh Koscheck ,W/L
Leonardo Santos  vs. Anthony Rocco Martin ,W/L
Amanda Nunes  vs. Shayna Baszler ,W/L
Gilbert Burns  vs. Alex Oliveira ,W/L
Godofredo Pepey  vs. Andre Fili ,W/L
Francisco Trinaldo  vs. Akbarh Arreola ,W/L
Edimilson Souza  vs. Katsunori Kikuno ,W/L
Leandro Silva  vs. Drew Dober ,NC/NC
Leonardo Mafra  vs. Cain Carrizosa ,W/L
Jorge de Oliveira  vs. Christos Giagos ,L/W
Bentley Syler  vs. Fredy Serrano ,L/W
Anthony Pettis  vs. Rafael Dos Anjos ,L/W
Carla Esparza  vs. Joanna Jedrzejczyk ,L/W
Johny Hendricks  vs. Matt Brown ,W/L
Roy Nelson  vs. Alistair Overeem ,L/W
Chris Cariaso  vs. Henry Cejudo ,L/W
Ross Pearson  vs. Sam Stout ,W/L
Elias Theodorou  vs. Roger Narvaez ,W/L
Daron Cruickshank  vs. Beneil Dariush ,L/W
Jared Rosholt  vs. Josh Copeland ,W/L
Sergio Pettis  vs. Ryan Benoit ,L/W
Jake Lindsey  vs. Joe Duffy ,L/W
Larissa Pacheco  vs. Germaine de Randamie ,L/W
Ronda Rousey  vs. Cat Zingano ,W/L
Raquel Pennington  vs. Holly Holm ,L/W
Jake Ellenberger  vs. Josh Koscheck ,W/L
Alan Jouban  vs. Richard Walsh ,W/L
Tony Ferguson  vs. Gleison Tibau ,W/L
Mark Munoz  vs. Roan Carneiro ,L/W
Roman Salazar  vs. Norifumi Yamamoto ,NC/NC
Dhiego Lima  vs. Tim Means ,L/W
Derrick Lewis  vs. Ruan Potts ,W/L
James Krause  vs. Valmir Lazaro ,L/W
Masio Fullen  vs. Alex Torres ,W/L
Antonio Silva  vs. Frank Mir ,L/W
Edson Barboza  vs. Michael Johnson ,L/W
Cezar Ferreira  vs. Sam Alvey ,L/W
Rustam Khabilov  vs. Adriano Martins ,L/W
Iuri Alcantara  vs. Frankie Saenz ,L/W
Santiago Ponzinibbio  vs. Sean Strickland ,W/L
Jessica Andrade  vs. Marion Reneau ,L/W
William Macario  vs. Matt Dwyer ,L/W
Tiago dos Santos e Silva  vs. Mike de la Torre ,L/W
Douglas Silva de Andrade  vs. Cody Gibson ,W/L
Ivan Jorge  vs. Josh Shockley ,W/L
Benson Henderson  vs. Brandon Thatch ,W/L
Max Holloway  vs. Cole Miller ,W/L
Neil Magny  vs. Kiichi Kunimoto ,W/L
Daniel Kelly  vs. Patrick Walsh ,W/L
Michel Prazeres  vs. Kevin Lee ,L/W
Ray Borg  vs. Chris Kelades ,W/L
Efrain Escudero  vs. Rodrigo de Lima ,W/L
Chas Skelly  vs. Jim Alers ,W/L
Zach Makovsky  vs. Tim Elliott ,W/L
James Moontasri  vs. Cody Pfister ,W/L
Anderson Silva  vs. Nick Diaz ,NC/NC
Tyron Woodley  vs. Kelvin Gastelum ,W/L
Joe Lauzon  vs. Al Iaquinta ,L/W
Thales Leites  vs. Tim Boetsch ,W/L
Jordan Mein  vs. Thiago Alves ,L/W
Miesha Tate  vs. Sara McMann ,W/L
Ed Herman  vs. Derek Brunson ,L/W
Ian McCall  vs. John Lineker ,L/W
Rafael Natal  vs. Tom Watson ,W/L
Richardson Moreira  vs. Ildemar Alcantara ,L/W
Thiago Santos  vs. Andy Enz ,W/L
Alexander Gustafsson  vs. Anthony Johnson ,L/W
Dan Henderson  vs. Gegard Mousasi ,L/W
Phil Davis  vs. Ryan Bader ,L/W
Akira Corassani  vs. Sam Sicilia ,L/W
Nicholas Musoke  vs. Albert Tumenov ,L/W
Kenny Robertson  vs. Sultan Aliev ,W/L
Andy Ogle  vs. Makwan Amirkhani ,L/W
Nikita Krylov  vs. Stanislav Nedkov ,W/L
Mairbek Taisumov  vs. Anthony Christodoulou ,W/L
Mirsad Bektic  vs. Paul Redmond ,W/L
Viktor Pesta  vs. Konstantin Erokhin ,W/L
Neil Seery  vs. Chris Beal ,W/L
Conor McGregor  vs. Dennis Siver ,W/L
Donald Cerrone  vs. Benson Henderson ,W/L
Uriah Hall  vs. Ron Stallings ,W/L
Norman Parke  vs. Gleison Tibau ,L/W
Cathal Pendred  vs. Sean Spencer ,W/L
John Howard  vs. Lorenz Larkin ,L/W
Zhang Lipeng  vs. Chris Wade ,L/W
Paddy Holohan  vs. Shane Howell ,W/L
Johnny Case  vs. Frankie Perez ,W/L
Charles Rosa  vs. Sean Soriano ,W/L
Matt Van Buren  vs. Sean O'Connell ,L/W
Tateki Matsuda  vs. Joby Sanchez ,L/W
Jon Jones  vs. Daniel Cormier ,W/L
Donald Cerrone  vs. Myles Jury ,W/L
Brad Tavares  vs. Nate Marquardt ,W/L
Kyoji Horiguchi  vs. Louis Gaudinot ,W/L
Hector Lombard  vs. Joshua Burkman ,NC/NC
Danny Castillo  vs. Paul Felder ,L/W
Marcus Brimage  vs. Cody Garbrandt ,L/W
Shawn Jordan  vs. Jared Cannonier ,W/L
Evan Dunham  vs. Rodrigo Damm ,W/L
Omari Akhmedov  vs. Mats Nilsson ,W/L
Alexis Dufresne  vs. Marion Reneau ,L/W
Lyoto Machida  vs. CB Dollaway ,W/L
Renan Barao  vs. Mitch Gagnon ,W/L
Antonio Carlos Junior  vs. Patrick Cummins ,L/W
Elias Silverio  vs. Rashid Magomedov ,L/W
Erick Silva  vs. Mike Rhodes ,W/L
Daniel Sarafian  vs. Antonio Dos Santos ,W/L
Marcos Rogerio de Lima  vs. Igor Pokrajac ,W/L
Tom Niinimaki  vs. Renato Moicano ,L/W
Darren Elkins  vs. Hacran Dias ,L/W
Leandro Issa  vs. Yuta Sasaki ,W/L
Marcio Alexandre Junior  vs. Tim Means ,L/W
Vitor Miranda  vs. Jake Collier ,W/L
Junior Dos Santos  vs. Stipe Miocic ,W/L
Rafael Dos Anjos  vs. Nate Diaz ,W/L
Alistair Overeem  vs. Stefan Struve ,W/L
Gabriel Gonzaga  vs. Matt Mitrione ,L/W
Claudia Gadelha  vs. Joanna Jedrzejczyk ,L/W
John Moraga  vs. Willie Gates ,W/L
Joe Riggs  vs. Ben Saunders ,L/W
Jamie Varner  vs. Drew Dober ,L/W
Joe Ellenberger  vs. Bryan Barberena ,L/W
David Michaud  vs. Garett Whiteley ,W/L
Henry Cejudo  vs. Dustin Kimura ,W/L
Anthony Birchak  vs. Ian Entwistle ,L/W
Carla Esparza  vs. Rose Namajunas ,W/L
Jeremy Stephens  vs. Charles Oliveira ,L/W
KJ Noons  vs. Daron Cruickshank ,NC/NC
Joe Proctor  vs. Yancy Medeiros ,L/W
Jessica Penne  vs. Randa Markos ,W/L
Felice Herrig  vs. Lisa Ellis ,W/L
Bec Rawlings  vs. Heather Clark ,L/W
Joanne Wood  vs. Seo Hee Ham ,W/L
Tecia Torres  vs. Angela Magana ,W/L
Aisling Daly  vs. Alex Chambers ,W/L
Emily Kagan  vs. Angela Hill ,L/W
Johny Hendricks  vs. Robbie Lawler ,L/W
Anthony Pettis  vs. Gilbert Melendez ,W/L
Travis Browne  vs. Brendan Schaub ,W/L
Todd Duffee  vs. Anthony Hamilton ,W/L
Tony Ferguson  vs. Abel Trujillo ,W/L
Urijah Faber  vs. Francisco Rivera ,W/L
Eddie Gordon  vs. Josh Samman ,L/W
Corey Anderson  vs. Justin Jones ,W/L
Raquel Pennington  vs. Ashlee Evans-Smith ,W/L
Sergio Pettis  vs. Matt Hobar ,W/L
Alex White  vs. Clay Collard ,L/W
Frankie Edgar  vs. Cub Swanson ,W/L
Bobby Green  vs. Edson Barboza ,L/W
Brad Pickett  vs. Chico Camus ,L/W
Jared Rosholt  vs. Aleksei Oleinik ,L/W
Joseph Benavidez  vs. Dustin Ortiz ,W/L
Matt Wiman  vs. Isaac Vallie-Flagg ,W/L
Ruslan Magomedov  vs. Josh Copeland ,W/L
Luke Barnatt  vs. Roger Narvaez ,L/W
James Vick  vs. Nick Hein ,W/L
Yves Edwards  vs. Akbarh Arreola ,L/W
Paige VanZant  vs. Kailin Curran ,W/L
Juan Manuel Puig  vs. Dooho Choi ,L/W
Fabricio Werdum  vs. Mark Hunt ,W/L
Jake Ellenberger  vs. Kelvin Gastelum ,L/W
Ricardo Lamas  vs. Dennis Bermudez ,W/L
Augusto Montano  vs. Chris Heatherly ,W/L
Edgar Garcia  vs. Hector Urbina ,L/W
Yair Rodriguez  vs. Leonardo Morales ,W/L
Alejandro Perez  vs. Jose Quinonez ,W/L
Jessica Eye  vs. Leslie Smith ,W/L
Gabriel Benitez  vs. Humberto Brown Morrison ,W/L
Henry Briones  vs. Guido Cannetti ,W/L
Marco Beltran  vs. Marlon Vera ,W/L
Mauricio Rua  vs. Ovince Saint Preux ,L/W
Warlley Alves  vs. Alan Jouban ,W/L
Claudio Silva  vs. Leon Edwards ,W/L
Dhiego Lima  vs. Jorge de Oliveira ,W/L
Juliana Lima  vs. Nina Nunes ,W/L
Diego Rivas  vs. Rodolfo Rubio Perez ,W/L
Caio Magalhaes  vs. Trevor Smith ,W/L
Leandro Silva  vs. Charlie Brenneman ,W/L
Thomas Almeida  vs. Tim Gorman ,W/L
Wagner Silva  vs. Colby Covington ,L/W
Luke Rockhold  vs. Michael Bisping ,W/L
Ross Pearson  vs. Al Iaquinta ,L/W
Robert Whittaker  vs. Clint Hester ,W/L
Soa Palelei  vs. Walt Harris ,W/L
Jake Matthews  vs. Vagner Rocha ,W/L
Anthony Perosh  vs. Guto Inocente ,W/L
Dylan Andrews  vs. Sam Alvey ,L/W
Richie Vaculik  vs. Louis Smolka ,L/W
Vik Grujic  vs. Chris Clements ,L/W
Luke Zachrich  vs. Daniel Kelly ,L/W
Jumabieke Tuerxun  vs. Marcus Brimage ,L/W
Jose Aldo  vs. Chad Mendes ,W/L
Glover Teixeira  vs. Phil Davis ,L/W
Fabio Maldonado  vs. Hans Stringer ,W/L
Darren Elkins  vs. Lucas Martins ,W/L
Diego Ferreira  vs. Beneil Dariush ,L/W
William Macario  vs. Neil Magny ,L/W
Yan Cabral  vs. Naoyuki Kotani ,W/L
Scott Jorgensen  vs. Wilson Reis ,L/W
Felipe Arantes  vs. Andre Fili ,L/W
Gilbert Burns  vs. Christos Giagos ,W/L
Fabricio Camoes  vs. Anthony Rocco Martin ,L/W
Rory MacDonald  vs. Tarec Saffiedine ,W/L
Raphael Assuncao  vs. Bryan Caraway ,W/L
Chad Laprise  vs. Yosdenis Cedeno ,W/L
Elias Theodorou  vs. Bruno Santos ,W/L
Nordine Taleb  vs. Li Jingliang ,W/L
Mitch Gagnon  vs. Roman Salazar ,W/L
Daron Cruickshank  vs. Anthony Njokuani ,W/L
Olivier Aubin-Mercier  vs. Jake Lindsey ,W/L
Jason Saggo  vs. Paul Felder ,L/W
Paddy Holohan  vs. Chris Kelades ,L/W
Albert Tumenov  vs. Matt Dwyer ,W/L
Pedro Munhoz  vs. Jerrod Sanders ,NC/NC
Gunnar Nelson  vs. Rick Story ,L/W
Akira Corassani  vs. Max Holloway ,L/W
Ilir Latifi  vs. Jan Blachowicz ,L/W
Niklas Backstrom  vs. Mike Wilkinson ,L/W
Magnus Cedenblad  vs. Scott Askham ,W/L
Nicholas Musoke  vs. Alexander Yakovlev ,W/L
Dennis Siver  vs. Charles Rosa ,W/L
Cathal Pendred  vs. Gasan Umalatov ,W/L
Tor Troeng  vs. Krzysztof Jotko ,L/W
Mairbek Taisumov  vs. Marcin Bandel ,W/L
Zubaira Tukhugov  vs. Ernest Chavez ,W/L
Demetrious Johnson  vs. Chris Cariaso ,W/L
Donald Cerrone  vs. Eddie Alvarez ,W/L
Dustin Poirier  vs. Conor McGregor ,L/W
Tim Kennedy  vs. Yoel Romero ,L/W
Cat Zingano  vs. Amanda Nunes ,W/L
Dominick Cruz  vs. Takeya Mizugaki ,W/L
Jorge Masvidal  vs. James Krause ,W/L
Patrick Cote  vs. Stephen Thompson ,L/W
John Howard  vs. Brian Ebersole ,L/W
Jon Tuck  vs. Kevin Lee ,L/W
Manvel Gamburyan  vs. Cody Gibson ,W/L
Mark Hunt  vs. Roy Nelson ,W/L
Myles Jury  vs. Takanori Gomi ,W/L
Yoshihiro Akiyama  vs. Amir Sadollah ,W/L
Miesha Tate  vs. Rin Nakai ,W/L
Kiichi Kunimoto  vs. Richard Walsh ,W/L
Kyoji Horiguchi  vs. Jon Delos Reyes ,W/L
Alex Caceres  vs. Masanori Kanehara ,L/W
Katsunori Kikuno  vs. Sam Sicilia ,W/L
Hyun Gyu Lim  vs. Takenori Sato ,W/L
Michinori Tanaka  vs. Kyung Ho Kang ,L/W
Kazuki Tokudome  vs. Johnny Case ,L/W
Maximo Blanco  vs. Dan Hooker ,W/L
Antonio Silva  vs. Andrei Arlovski ,L/W
Gleison Tibau  vs. Piotr Hallmann ,W/L
Leonardo Santos  vs. Efrain Escudero ,W/L
Santiago Ponzinibbio  vs. Wendell Oliveira Marques ,W/L
Iuri Alcantara  vs. Russell Doane ,W/L
Jessica Andrade  vs. Larissa Pacheco ,W/L
Godofredo Pepey  vs. Dashon Johnson ,W/L
Igor Araujo  vs. George Sullivan ,L/W
Francisco Trinaldo  vs. Leandro Silva ,W/L
Paulo Thiago  vs. Sean Spencer ,L/W
Rani Yahya  vs. Johnny Bedford ,W/L
Jacare Souza  vs. Gegard Mousasi ,W/L
Alistair Overeem  vs. Ben Rothwell ,L/W
Matt Mitrione  vs. Derrick Lewis ,W/L
Joe Lauzon  vs. Michael Chiesa ,W/L
John Moraga  vs. Justin Scoggins ,W/L
Al Iaquinta  vs. Rodrigo Damm ,W/L
Rafael Natal  vs. Chris Camozzi ,W/L
Chris Beal  vs. Tateki Matsuda ,W/L
Sean Soriano  vs. Chas Skelly ,L/W
TJ Dillashaw  vs. Joe Soto ,W/L
Tony Ferguson  vs. Danny Castillo ,W/L
Bethe Correia  vs. Shayna Baszler ,W/L
Ramsey Nijem  vs. Diego Ferreira ,L/W
Yancy Medeiros  vs. Damon Jackson ,W/L
Lorenz Larkin  vs. Derek Brunson ,L/W
Ruan Potts  vs. Anthony Hamilton ,L/W
Chris Wade  vs. Cain Carrizosa ,W/L
Benson Henderson  vs. Rafael Dos Anjos ,L/W
Mike Pyle  vs. Jordan Mein ,L/W
Francis Carmont  vs. Thales Leites ,L/W
Max Holloway  vs. Clay Collard ,W/L
James Vick  vs. Valmir Lazaro ,W/L
Chas Skelly  vs. Tom Niinimaki ,W/L
Neil Magny  vs. Alex Garcia ,W/L
Beneil Dariush  vs. Anthony Rocco Martin ,W/L
Aaron Phillips  vs. Matt Hobar ,L/W
Ben Saunders  vs. Chris Heatherly ,W/L
Wilson Reis  vs. Joby Sanchez ,W/L
Michael Bisping  vs. Cung Le ,W/L
Tyron Woodley  vs. Dong Hyun Kim ,W/L
Zhang Lipeng  vs. Brendan O'Reilly ,W/L
Guangyou Ning  vs. Jianping Yang ,W/L
Sai Wang  vs. Danny Mitchell ,W/L
Alberto Mina  vs. Shinsho Anzai ,W/L
Roland Delorme  vs. Yuta Sasaki ,L/W
Anying Wang  vs. Colby Covington ,L/W
Yao Zhikui  vs. Royston Wee ,L/W
Elizabeth Phillips  vs. Milana Dudieva ,L/W
Ryan Bader  vs. Ovince Saint Preux ,W/L
Gray Maynard  vs. Ross Pearson ,L/W
Tim Boetsch  vs. Brad Tavares ,W/L
Seth Baczynski  vs. Alan Jouban ,L/W
Shawn Jordan  vs. Jack May ,W/L
Thiago Tavares  vs. Robert Peralta ,W/L
Jussier Formiga  vs. Zach Makovsky ,W/L
Sara McMann  vs. Lauren Murphy ,W/L
Tom Watson  vs. Sam Alvey ,W/L
Nolan Ticman  vs. Frankie Saenz ,L/W
Robbie Lawler  vs. Matt Brown ,W/L
Anthony Johnson  vs. Rogerio Nogueira ,W/L
Clay Guida  vs. Dennis Bermudez ,L/W
Josh Thomson  vs. Bobby Green ,L/W
Daron Cruickshank  vs. Jorge Masvidal ,L/W
Kyle Kingsbury  vs. Patrick Cummins ,L/W
Hernani Perpetuo  vs. Tim Means ,L/W
